,productID,brandID,attribute1,attribute2,attribute3,attribute4,clickVolume,avgOriginalUnitPrice,avgFinalUnitPrice,ma14SalesVolume,weekday,meanAge,gender,meanEducation,maritalStatus,plus,meanPurchasePower,meanUserLevel,meanCityLevel,sales
0,28,4,3,100,5,2.098131421,749,58.87096774,53.77419355,24.64285714,3,31.48148148,0.37037037,3.222222222,0.555555556,0.357142857,2.259259259,3.178571429,1.884615385,31
1,73,30,2,40,3,1.487172826,1217,329,146.1111111,8.642857143,5,30,0,3.333333333,0.571428571,0.333333333,2.285714286,3,2,9
2,70,3,3,100,1,2.72629969,3676,105,64.79787234,32.5,2,32.02777778,0.194444444,3.073529412,0.611940299,0.32,2.223880597,2.866666667,2,94
3,69,35,3,100,2,2.831174888,2685,246.4827586,204.4482759,43.71428571,5,32.16,0.28,3.125,0.48,0.357142857,2.16,3.357142857,1.833333333,29
4,69,35,3,100,7,6.322161125,777,250,240.5,43,6,26.66666667,0,3.333333333,0,0.5,2,2.75,1.333333333,4
5,6,26,3,70,7,5.780665627,883,134.18,107.4786667,42.21428571,5,32,0.1,2.9,0.2,0.142857143,2.1,3.714285714,2.111111111,15
6,96,35,3,100,7,36.11214948,313,180,121,5.357142857,1,33.33333333,0,3.333333333,0.666666667,0.666666667,3,2.666666667,2.666666667,5
7,50,13,3,100,8,9.607206562,193,79,57.8,4.928571429,5,25,0.25,3.5,0.5,0.4,2.5,2.8,1.5,5
8,50,13,3,100,3,15.70636459,466,79,69.895,13.21428571,6,34.28571429,0.142857143,2.714285714,0.571428571,0,2.428571429,2.125,2.166666667,8
9,31,26,3,100,8,17.66024953,554,69.9,58.15,14.92857143,5,32.75,0.375,3.142857143,0.625,0.375,2.5,3,2.25,8
10,31,26,3,100,1,13.13110846,250,69.9,59.9,45.57142857,6,20,0.333333333,2.333333333,0,0,3,3,2,3
11,2,26,4,100,14,3.245759493,143,89.9,89.9,30.42857143,2,30,0,2,0,0,2,2.5,1,2
12,92,22,3,60,4,18.32298935,368,166,159,10.57142857,6,36.66666667,0.333333333,3.333333333,1,1,2,3,2.5,3
13,68,36,3,70,17,3.853879942,1357,154,131.8875,5.714285714,6,35,0,3.25,0.75,0.25,2.5,6.625,1.5,8
14,60,2,3,60,3,6.634015966,667,69,49.17128205,12.78571429,3,29.31034483,0.137931034,3.178571429,0.655172414,0.275862069,2.275862069,2.793103448,2.285714286,39
15,99,31,3,70,7,5.800680111,93,68,34,4.428571429,6,30,0,3,1,0,2,3,2,1
16,88,36,4,100,13,15.2313534,1868,249.9,159,7.142857143,6,30,1,3.5,0.5,1,2,4,2,2
17,27,36,4,100,1,3.09126736,649,162.9,78.24285714,24.28571429,5,35,0,3.166666667,0.666666667,0.166666667,2.333333333,2.833333333,1.8,7
18,99,31,3,70,1,35.52514948,1235,68,36.44047619,1.714285714,3,36.25806452,0.258064516,3.2,0.551724138,0.225806452,2.310344828,2.838709677,2.407407407,42
19,83,25,3,100,1,17.73583883,493,240,192,2.714285714,3,40.4,0,3,0.6,0.4,2.2,2.8,2.4,5
20,99,31,3,70,2,7.264119415,461,68,45.66666667,1.785714286,2,30,0,3,1,0,2.333333333,2.333333333,2.5,3
21,8,16,3,70,1,5.368069232,216,69,65.42857143,4.928571429,2,30,0.25,2.75,0.5,0.166666667,2.75,1.666666667,3,7
22,28,4,3,100,9,10.24757818,380,59,54.2,56.35714286,4,30.66666667,0.4,3.571428571,0.733333333,0.375,2.333333333,2.875,1.8,18
23,39,15,4,100,2,11.12046108,1177,198,39.18977273,34.64285714,1,29.25925926,0.111111111,3.08,0.458333333,0.35483871,2.375,2.64516129,2.038461538,44
24,61,26,4,100,4,15.25830722,485,79.9,71.47368421,73.71428571,6,36,0.4,3.4,0.7,0.454545455,2.2,4.181818182,1.6,19
25,92,22,3,60,3,35.50107854,440,166,166,8,5,30,1,2.333333333,0.333333333,0,2.666666667,2,3,3
26,22,23,1,60,6,25.62547336,708,54.54653846,29.35423077,32.64285714,4,30.66666667,0.388888889,2.888888889,0.444444444,0.263157895,2.222222222,3.157894737,2.375,26
27,80,2,3,60,1,5.027895156,144,69,63.08,5.928571429,4,32,0.6,3.4,0.4,0.6,2.2,2.8,2.4,5
28,0,4,3,90,6,13.06362891,620,129,128.2727273,8.857142857,4,31.11111111,0.333333333,3,0.555555556,0.090909091,2.222222222,2.6,1.75,11
29,43,12,3,60,3,3.428200609,403,139,70.09090909,19.64285714,2,28.88888889,0,3.166666667,0.428571429,0.2,2.285714286,2.1,2.222222222,11
30,84,26,3,60,4,0.918518894,750,79.9,42.17179487,56.21428571,3,31.875,0.21875,3.193548387,0.78125,0.4,2.161290323,2.970588235,2.233333333,39
31,45,27,3,80,2,6.408924996,291,191,187.8333333,2.5,6,33.33333333,0.166666667,3,0.333333333,0.166666667,2.5,2.5,1.333333333,6
32,88,36,4,100,13,7.838531976,413,233.0833333,139,3.571428571,4,38,0.2,3.4,0.4,0.333333333,2.4,3.833333333,2,6
33,13,2,3,50,4,3.300992326,1139,65,52.3462069,40,7,33.68421053,0.263157895,2.823529412,0.470588235,0.181818182,2.352941176,2.181818182,2.25,29
34,12,2,3,60,3,3.077491556,813,69,55.56129032,10.78571429,4,28.4,0.24,3,0.333333333,0.16,2.416666667,2.64,1.916666667,31
35,95,23,2,60,5,22.84992945,258,62.10166667,33.36,29.14285714,2,34,0.2,3.4,0.8,0.333333333,1.8,4.5,2.8,6
36,0,4,3,90,2,97.75498496,634,129,125.9090909,8.5,5,27.77777778,0.444444444,3,0.75,0.272727273,2.625,3.181818182,1.888888889,11
37,90,35,4,100,2,11.07865369,250,230,194,5.142857143,7,27.5,0.25,3.333333333,0.666666667,0.5,2,3,2,4
38,41,27,3,80,6,20.41198854,434,191,161.1818182,9.428571429,7,36,0.2,3.5,0.7,0.636363636,2.2,3.090909091,2,11
39,0,4,3,90,2,3.471643638,444,129,128.375,7.428571429,4,34.28571429,0.428571429,3.285714286,0.571428571,0.5,2,3.25,2.666666667,8
40,65,26,3,80,2,15.72324096,306,69.9,59.9,19.28571429,5,30,0,3,0.5,0,2.5,2.5,2,2
41,27,36,4,100,5,8.254494295,377,162.9,103.3333333,1.642857143,2,25,0.25,3,0.5,0.2,2.25,2.6,2,6
42,65,26,3,80,4,44.69146848,287,69.9,44.27333333,18.35714286,2,28.57142857,0.357142857,3.307692308,0.571428571,0.333333333,2.285714286,2.785714286,2.153846154,15
43,22,23,1,60,17,11.95918546,737,54.80568966,28.8837931,57.85714286,1,33.03703704,0.444444444,3,0.64,0.35483871,2.416666667,3.2,2.32,58
44,45,27,3,80,3,1.844791421,132,191,179,3.285714286,7,40,1,3,0,0,2,4,2,1
45,72,25,3,60,3,4.937220094,832,180,117.1794872,29.28571429,1,33.77777778,0.296296296,3.461538462,0.76,0.740740741,2.08,3.333333333,1.777777778,39
46,70,3,3,100,1,38.8549451,1308,105,64.24,46.78571429,5,31.2,0.142857143,3,0.529411765,0.236842105,2.333333333,2.473684211,2.1875,50
47,28,4,3,100,2,11.51999958,842,59,53.70909091,30.64285714,1,35.24137931,0.137931034,3.185185185,0.777777778,0.258064516,2.259259259,2.741935484,2.44,33
48,82,11,3,100,9,16.43584803,401,99,68.2,0,4,30,0.5,2.25,0.5,0,2.5,2.25,2.25,5
49,25,23,3,60,2,4.793413942,702,79,38.23333333,32.14285714,7,31.39130435,0.391304348,3.130434783,0.565217391,0.37037037,2.304347826,3,2.304347826,30
50,15,9,4,100,1,1.416530381,1423,169.21,105.5253846,61.35714286,6,33.36363636,0.272727273,3.19047619,0.714285714,0.333333333,2.285714286,3.25,2.05,26
51,88,36,4,100,1,20.61664231,453,249.9,128.25,5.928571429,7,30,0.714285714,2.857142857,0.285714286,0.428571429,2.428571429,2.714285714,1.714285714,8
52,28,4,3,100,2,8.761064986,491,59,55,23.85714286,7,30,0.125,3.25,0.75,0.375,2.125,3.125,1.75,8
53,56,23,2,60,1,25.81701331,1258,68.62326531,36.62755102,47.85714286,5,31.94594595,0.378378378,3.083333333,0.513513514,0.333333333,2.459459459,3.051282051,2.1875,49
54,8,16,3,70,2,52.47584895,217,69,69,5.142857143,6,27.5,0.25,3,0.75,0.333333333,2.25,2.666666667,1.75,6
55,96,35,3,100,9,4.314228401,481,180,150.6363636,11.21428571,4,23.33333333,0.333333333,3.166666667,0.166666667,0.285714286,2.166666667,2,2.2,11
56,8,16,3,70,7,9.11458711,102,69,69,1.285714286,2,30,0,2,0,0,2,2,2,2
57,87,3,3,60,1,3.358270587,404,48,29.108,1.142857143,5,31.42857143,0.285714286,2.714285714,0.714285714,0.428571429,2.571428571,2.857142857,2.428571429,10
58,18,18,2,40,3,10.12441329,622,66,31.71818182,34.78571429,5,32.84615385,0.576923077,2.884615385,0.538461538,0.290322581,2.230769231,2.290322581,2.318181818,33
59,69,35,3,100,1,10.43139954,1114,243.625,214.875,21.57142857,4,30,0.166666667,3.5,0.6,0.571428571,2,4.571428571,1.666666667,8
